City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Sambava,MG,2021-03-10 03:01:01,-14.2667,50.1667,75.06,89,100,6.29,overcast clouds
198,Ternate,ID,2021-03-10 03:01:01,0.8,127.4,84.13,71,100,4.92,overcast clouds
199,Gizo,SB,2021-03-10 02:53:58,-8.103,156.8419,84.27,69,35,1.97,light rain
200,Kamaishi,JP,2021-03-10 02:54:36,39.2667,141.8833,42.8,45,75,12.66,broken clouds
201,Vilhena,BR,2021-03-10 03:01:02,-12.7406,-60.1458,68.22,98,100,1.52,overcast clouds
202,Hasaki,JP,2021-03-10 02:53:45,35.7333,140.8333,64.0,31,20,17.27,few clouds
203,Tiksi,RU,2021-03-10 03:01:02,71.6872,128.8694,-6.99,88,100,2.68,overcast clouds
204,Airai,TL,2021-03-10 03:01:02,-8.9266,125.4092,73.49,75,84,1.9,broken clouds
205,Loikaw,MM,2021-03-10 03:01:02,19.6742,97.2094,85.37,19,22,2.15,few clouds
206,Klaksvik,FO,2021-03-10 02:52:56,62.2266,-6.589,42.8,87,75,36.82,broken clouds
207,Isiro,CD,2021-03-10 03:01:03,2.7739,27.616,64.49,86,7,2.28,clear sky
208,San Quintin,MX,2021-03-10 02:54:47,30.4833,-115.95,55.4,70,0,19.06,clear sky
209,Saldanha,ZA,2021-03-10 03:01:03,-33.0117,17.9442,62.6,94,99,17.27,light rain
210,Santa Isabel Do Rio Negro,BR,2021-03-10 03:01:03,-0.4139,-65.0192,72.91,97,100,2.77,moderate rain
211,Grand Gaube,MU,2021-03-10 03:01:04,-20.0064,57.6608,77.0,81,21,4.0,few clouds
212,Seoul,KR,2021-03-10 02:49:38,37.5683,126.9778,51.8,50,0,4.61,haze
213,Chupa,RU,2021-03-10 03:01:04,66.27,33.0549,2.28,91,18,4.88,few clouds
214,Concarneau,FR,2021-03-10 03:01:04,47.875,-3.9225,44.6,81,90,8.05,overcast clouds
215,Aswan,EG,2021-03-10 03:01:05,24.0934,32.907,65.66,38,0,7.43,clear sky
216,Thunder Bay,CA,2021-03-10 03:01:05,48.4001,-89.3168,42.8,65,90,5.75,overcast clouds
217,Faanui,PF,2021-03-10 03:01:05,-16.4833,-151.75,82.56,70,94,11.32,overcast clouds
218,Puerto Ayora,EC,2021-03-10 03:01:05,-0.7393,-90.3518,80.01,90,97,1.41,overcast clouds
219,Medina Del Campo,ES,2021-03-10 03:01:06,41.3124,-4.9141,35.01,86,0,3.44,clear sky
220,Porto Velho,BR,2021-03-10 03:01:06,-8.7619,-63.9039,75.2,88,75,5.75,broken clouds
221,Izalco,SV,2021-03-10 03:01:06,13.7447,-89.6731,72.0,71,100,8.01,overcast clouds
222,Pundaguitan,PH,2021-03-10 03:01:07,6.3711,126.1689,79.47,81,98,7.61,overcast clouds
223,Black River,JM,2021-03-10 03:01:07,18.0264,-77.8487,77.0,73,40,8.05,scattered clouds
224,Tabou,CI,2021-03-10 03:01:07,4.423,-7.3528,78.55,89,95,7.58,light rain
225,Elko,US,2021-03-10 02:59:13,41.0002,-115.5012,34.0,34,100,4.76,overcast clouds
226,Mildura,AU,2021-03-10 03:01:07,-34.2,142.15,80.01,31,86,6.91,overcast clouds
227,Sabang,ID,2021-03-10 02:53:18,5.8933,95.3214,82.65,74,9,18.81,clear sky
228,Limbang,MY,2021-03-10 02:58:28,4.75,115.0,84.2,79,75,1.14,broken clouds
229,Ouesso,CG,2021-03-10 02:54:47,1.6136,16.0517,70.0,92,95,1.41,light rain
230,Saint George,US,2021-03-10 02:54:09,37.1041,-113.5841,55.4,14,1,13.8,clear sky
231,Hofn,IS,2021-03-10 02:53:11,64.2539,-15.2082,38.66,78,100,27.6,light rain
232,Atbasar,KZ,2021-03-10 02:54:03,51.8,68.3333,13.95,96,100,8.03,light snow
233,Sinnamary,GF,2021-03-10 03:01:08,5.3833,-52.95,76.91,87,100,11.59,overcast clouds
234,Kahului,US,2021-03-10 03:01:08,20.8947,-156.47,73.4,78,90,9.22,light rain
235,Paramonga,PE,2021-03-10 03:01:09,-10.6667,-77.8333,72.97,78,98,0.49,overcast clouds
236,Telfs,AT,2021-03-10 03:01:09,47.3,11.0667,35.6,69,75,1.14,broken clouds
237,Pereslavl-Zalesskiy,RU,2021-03-10 03:01:09,56.7393,38.8563,-17.27,88,67,5.82,broken clouds
238,Jalu,LY,2021-03-10 03:01:09,29.0331,21.5482,58.17,86,0,9.37,clear sky
239,Namibe,AO,2021-03-10 03:01:10,-15.1961,12.1522,74.35,79,98,5.28,overcast clouds
240,Waihi Beach,NZ,2021-03-10 03:01:10,-37.4,175.9333,70.0,73,100,4.0,moderate rain
241,Armacao De Pera,PT,2021-03-10 03:01:10,37.1026,-8.357,53.6,58,0,9.22,clear sky
242,Salme,NP,2021-03-10 03:01:10,28.0369,85.0942,60.8,77,20,3.33,mist
243,Cidreira,BR,2021-03-10 03:01:11,-30.1811,-50.2056,68.65,77,0,1.32,clear sky
244,Nades,RO,2021-03-10 03:01:11,46.3167,24.7333,34.0,69,75,3.44,broken clouds
245,Nantucket,US,2021-03-10 02:54:46,41.2835,-70.0995,41.0,81,1,6.91,clear sky
246,Narsaq,GL,2021-03-10 03:01:12,60.9167,-46.05,23.0,50,75,6.91,broken clouds
247,Grindavik,IS,2021-03-10 03:01:12,63.8424,-22.4338,33.8,80,90,23.02,overcast clouds
248,Adre,TD,2021-03-10 03:01:13,13.4667,22.2,66.83,20,0,9.95,clear sky
249,Avarua,CK,2021-03-10 03:01:13,-21.2078,-159.775,80.6,78,90,4.61,light rain
250,Cabo San Lucas,MX,2021-03-10 02:59:09,22.8909,-109.9124,75.2,46,75,13.49,broken clouds
251,Kasama,ZM,2021-03-10 03:01:14,-10.2129,31.1808,58.41,98,56,1.39,broken clouds
252,Jonkoping,SE,2021-03-10 03:01:14,57.7814,14.1562,26.6,80,90,5.75,overcast clouds
253,Kholtoson,RU,2021-03-10 03:01:14,50.2981,103.3097,29.23,89,61,2.57,broken clouds
254,Khatanga,RU,2021-03-10 03:01:14,71.9667,102.5,-23.01,85,100,16.2,overcast clouds
255,Ambunti,PG,2021-03-10 03:01:15,-4.2365,142.8448,86.95,67,87,3.89,overcast clouds
256,Chokurdakh,RU,2021-03-10 03:01:15,70.6333,147.9167,-10.79,88,40,10.56,scattered clouds
257,Sajanan,TN,2021-03-10 03:01:15,37.0573,9.2426,55.4,71,40,14.97,scattered clouds
258,Kenai,US,2021-03-10 03:01:15,60.5544,-151.2583,33.8,86,90,9.22,light rain
259,Makakilo City,US,2021-03-10 02:54:35,21.3469,-158.0858,75.2,88,90,10.36,moderate rain
260,Itarema,BR,2021-03-10 02:53:24,-2.9248,-39.9167,78.75,84,93,9.08,overcast clouds
261,Clyde River,CA,2021-03-10 03:01:16,70.4692,-68.5914,-4.0,84,90,17.27,light snow
