City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,Erenhot,43.6475,111.9767,20.39,95,100,16.98,CN,2021-03-04 16:58:32
149,Nyurba,63.2842,118.3319,-27.78,82,2,6.73,RU,2021-03-04 16:58:33
150,Georgetown,5.4112,100.3354,84.0,89,20,4.61,MY,2021-03-04 16:54:55
151,Lalibela,12.0333,39.0333,64.85,42,20,12.39,ET,2021-03-04 16:58:33
152,Acarau,-2.8856,-40.12,84.33,68,66,17.29,BR,2021-03-04 16:58:33
153,Jinchang,38.4953,102.1739,34.47,73,24,0.16,CN,2021-03-04 16:58:34
154,Biak,-0.9131,122.8766,76.01,72,100,4.25,ID,2021-03-04 16:58:34
155,San Lawrenz,36.0553,14.204,59.0,67,20,11.5,MT,2021-03-04 16:58:34
156,Sitka,57.0531,-135.33,35.6,75,20,10.36,US,2021-03-04 16:58:34
157,Seminole,28.7086,-81.2081,71.01,65,32,3.0,US,2021-03-04 16:54:23
158,Ambilobe,-13.2,49.05,76.6,86,49,2.57,MG,2021-03-04 16:54:16
159,Saint-Philippe,-21.3585,55.7679,78.8,83,90,6.91,RE,2021-03-04 16:58:35
160,Bridlington,54.0831,-0.1919,39.0,75,92,8.01,GB,2021-03-04 16:58:35
161,Chancay,-11.5714,-77.2672,77.0,73,20,8.05,PE,2021-03-04 16:58:35
162,Lyubuchany,55.2511,37.5456,30.0,93,75,4.47,RU,2021-03-04 16:58:36
163,Ribeira Grande,38.5167,-28.7,62.6,67,20,10.36,PT,2021-03-04 16:58:36
164,Nantucket,41.2835,-70.0995,41.0,75,1,10.36,US,2021-03-04 16:58:36
165,Kenai,60.5544,-151.2583,-9.4,77,40,4.61,US,2021-03-04 16:58:36
166,Provideniya,64.3833,-173.3,5.0,92,100,36.1,RU,2021-03-04 16:58:36
167,Channel-Port Aux Basques,47.5702,-59.1367,22.33,95,100,28.54,CA,2021-03-04 16:58:36
168,Sisimiut,66.9395,-53.6735,28.76,74,97,11.97,GL,2021-03-04 16:58:36
169,Trinidad,-14.8333,-64.9,75.2,94,90,4.61,BO,2021-03-04 16:58:37
170,Itapuranga,-15.5622,-49.9486,80.55,69,100,3.13,BR,2021-03-04 16:58:37
171,Cayenne,4.9333,-52.3333,87.8,62,75,16.11,GF,2021-03-04 16:58:37
172,Nawabganj,24.5911,88.271,68.54,25,0,1.57,BD,2021-03-04 16:58:37
173,Chumikan,54.7183,135.315,-8.93,83,100,3.15,RU,2021-03-04 16:58:37
174,Krasnomayskiy,57.6194,34.4099,22.84,92,59,4.21,RU,2021-03-04 16:58:37
175,Kang,-23.6752,22.7876,78.3,37,89,0.51,BW,2021-03-04 16:58:37
176,Mayo,38.8876,-76.5119,52.0,43,1,12.66,US,2021-03-04 16:58:38
177,Khandyga,62.6667,135.6,-32.91,83,99,3.53,RU,2021-03-04 16:58:38
178,Bati,11.1833,40.0167,70.12,32,0,3.15,ET,2021-03-04 16:58:38
179,Aquin,18.2833,-73.4,78.57,71,27,6.24,HT,2021-03-04 16:58:38
180,Sembakung,3.8167,117.25,72.84,96,20,0.98,ID,2021-03-04 16:58:39
181,Mahebourg,-20.4081,57.7,78.8,78,40,4.61,MU,2021-03-04 16:58:39
182,Taloqan,36.7361,69.5345,56.07,52,72,3.78,AF,2021-03-04 16:58:39
183,Bloemfontein,-29.1211,26.214,84.2,23,20,10.36,ZA,2021-03-04 16:58:39
184,Lata,40.1629,-8.3327,62.01,72,40,8.05,PT,2021-03-04 16:58:40
185,Touros,-5.1989,-35.4608,87.8,62,40,19.57,BR,2021-03-04 16:58:40
186,Palmeira,-25.4294,-50.0064,71.1,92,98,11.41,BR,2021-03-04 16:58:40
187,Samarai,-10.6167,150.6667,81.09,77,100,11.3,PG,2021-03-04 16:58:40
188,Paamiut,61.994,-49.6678,42.06,64,83,6.55,GL,2021-03-04 16:58:41
189,Doha,25.2867,51.5333,75.99,53,0,5.75,QA,2021-03-04 16:54:27
190,Rochegda,62.8,43.25,8.15,96,98,4.0,RU,2021-03-04 16:58:41
191,Mosetse,-20.75,26.65,79.38,32,51,4.85,BW,2021-03-04 16:58:41
192,Bilma,18.6853,12.9164,77.72,15,0,6.2,NE,2021-03-04 16:58:42
193,Koumra,8.9126,17.5539,92.08,11,100,2.04,TD,2021-03-04 16:58:42
194,North Battleford,52.7834,-108.2847,19.4,93,90,9.22,CA,2021-03-04 16:58:42
195,Kitaibaraki,36.7833,140.75,48.0,70,100,8.41,JP,2021-03-04 16:58:43
196,Kalagarh,29.5,78.75,66.33,26,0,4.88,IN,2021-03-04 16:58:43
197,San Jose,37.3394,-121.895,53.01,76,20,11.5,US,2021-03-04 16:56:07
198,Uruacu,-14.5247,-49.1408,83.26,63,100,2.82,BR,2021-03-04 16:58:43
199,Porto Velho,-8.7619,-63.9039,82.4,74,40,5.75,BR,2021-03-04 16:58:43
200,Hamilton,39.1834,-84.5333,48.99,42,1,12.66,US,2021-03-04 16:58:43
201,Ilulissat,69.2167,-51.1,26.6,74,40,12.66,GL,2021-03-04 16:58:44
202,Zhigansk,66.7697,123.3711,-35.39,83,65,0.85,RU,2021-03-04 16:58:44
203,Oktyabrskoye,43.0645,44.7417,33.8,75,5,8.95,RU,2021-03-04 16:58:44
204,Emba,48.8264,58.1442,20.19,96,99,12.91,KZ,2021-03-04 16:58:44
205,Yar-Sale,66.8333,70.8333,10.65,96,100,7.9,RU,2021-03-04 16:58:44
206,Kangaatsiaq,68.3065,-53.4641,19.49,96,58,11.07,GL,2021-03-04 16:58:44
207,Peniche,39.3558,-9.3811,59.0,88,100,13.0,PT,2021-03-04 16:58:44
208,Linxia,35.6003,103.2064,37.6,59,75,5.06,CN,2021-03-04 16:58:45
209,Lagoa,39.05,-27.9833,57.36,66,100,9.8,PT,2021-03-04 16:58:45
210,Emilio Carranza,19.9711,-96.6114,72.75,70,6,6.24,MX,2021-03-04 16:58:45
211,Beloha,-25.1667,45.05,75.85,83,3,6.64,MG,2021-03-04 16:58:46
212,Pueblo Nuevo,23.3833,-105.3833,75.88,19,3,4.16,MX,2021-03-04 16:58:46
213,Solnechnyy,50.7214,136.6319,5.85,92,75,7.11,RU,2021-03-04 16:58:46
214,Umea,63.8284,20.2597,28.4,59,0,5.75,SE,2021-03-04 16:58:47
215,Porgera,-5.4667,143.2,43.12,99,100,2.19,PG,2021-03-04 16:58:47
216,Merke,42.8728,73.1786,40.42,69,72,8.32,KZ,2021-03-04 16:58:47
217,Rawson,-43.3002,-65.1023,63.81,63,66,13.89,AR,2021-03-04 16:58:47
218,Puerto Escondido,15.85,-97.0667,86.0,74,1,4.61,MX,2021-03-04 16:58:48
219,Kathu,7.9178,98.3332,84.2,61,20,9.22,TH,2021-03-04 16:56:24
220,Sterling,39.0062,-77.4286,51.01,43,40,20.71,US,2021-03-04 16:54:51
221,Luderitz,-26.6481,15.1594,74.37,54,0,22.91,NA,2021-03-04 16:58:48
222,Conceicao Do Castelo,-20.3683,-41.2439,80.01,64,57,5.66,BR,2021-03-04 16:58:48
223,Porto Novo,6.4965,2.6036,89.6,70,20,14.97,BJ,2021-03-04 16:58:48
224,Hobyo,5.3505,48.5268,78.82,76,94,16.6,SO,2021-03-04 16:58:49
225,Kungurtug,50.5994,97.5228,-0.35,85,0,2.71,RU,2021-03-04 16:58:49
226,Vanino,49.0869,140.2543,25.59,94,100,3.69,RU,2021-03-04 16:58:49
227,Camacha,33.0833,-16.3333,64.4,72,75,14.97,PT,2021-03-04 16:58:49
228,Chokurdakh,70.6333,147.9167,-11.76,95,100,21.0,RU,2021-03-04 16:58:49
229,Esperance,-33.8667,121.9,68.0,83,89,14.97,AU,2021-03-04 16:58:49
230,Margate,51.3813,1.3862,42.01,80,98,5.01,GB,2021-03-04 16:58:50
231,Aitape,-3.1374,142.3475,78.58,83,92,9.4,PG,2021-03-04 16:58:50
232,Bunia,1.5667,30.25,76.41,42,58,0.65,CD,2021-03-04 16:55:08
233,Tabou,4.423,-7.3528,82.76,80,95,11.56,CI,2021-03-04 16:58:50
234,Saint George,37.1041,-113.5841,52.0,66,1,4.61,US,2021-03-04 16:58:50
235,Exeter,50.7236,-3.5275,43.0,89,94,10.54,GB,2021-03-04 16:54:57
236,Posse,-14.0931,-46.3694,85.95,45,58,1.28,BR,2021-03-04 16:58:50
237,East London,-33.0153,27.9116,71.6,88,75,8.05,ZA,2021-03-04 16:58:51
238,Batticaloa,7.7102,81.6924,78.96,72,9,7.87,LK,2021-03-04 16:58:51
239,Narsaq,60.9167,-46.05,50.0,32,75,41.43,GL,2021-03-04 16:58:51
240,Nevel,56.0209,29.9284,28.09,82,78,6.93,RU,2021-03-04 16:58:51
241,Durban,-29.8579,31.0292,78.01,73,75,8.05,ZA,2021-03-04 16:58:51
242,Taltal,-25.4,-70.4833,72.95,62,16,7.94,CL,2021-03-04 16:58:51
243,Vila,42.0304,-8.1588,60.01,59,100,7.0,PT,2021-03-04 16:58:52
244,Lokoja,7.8024,6.743,102.43,14,37,8.46,NG,2021-03-04 16:58:52
245,Forbes,-33.3833,148.0167,62.01,63,0,1.99,AU,2021-03-04 16:58:52
246,College,64.8569,-147.8028,-5.8,77,75,3.22,US,2021-03-04 16:58:52
247,Port Macquarie,-31.4333,152.9167,60.01,99,0,8.25,AU,2021-03-04 16:58:52
248,Oistins,13.0667,-59.5333,84.2,61,40,21.85,BB,2021-03-04 16:58:53
249,San Jeronimo,-11.9472,-75.2829,59.38,53,99,3.0,PE,2021-03-04 16:58:53
250,Port Elizabeth,-33.918,25.5701,69.8,83,75,12.66,ZA,2021-03-04 16:55:38
251,Tirumullaivasal,11.2333,79.8333,76.37,74,34,7.74,IN,2021-03-04 16:58:53
252,Rio Verde De Mato Grosso,-18.9181,-54.8442,76.5,82,96,9.42,BR,2021-03-04 16:58:54
253,Tautira,-17.7333,-149.15,77.0,83,75,4.61,PF,2021-03-04 16:58:55
254,Rybinsk,58.0446,38.8426,15.17,96,45,4.68,RU,2021-03-04 16:58:23
255,Wamba,8.9333,8.6,97.66,9,8,4.27,NG,2021-03-04 16:58:55
256,Saskylakh,71.9167,114.0833,-34.19,81,61,5.61,RU,2021-03-04 16:58:55
257,Egvekinot,66.3167,-179.1667,-0.13,95,100,28.34,RU,2021-03-04 16:58:55
258,Ixtapa,20.7,-105.2,73.4,73,1,3.56,MX,2021-03-04 16:58:55
259,Hurghada,27.2574,33.8129,64.4,39,0,18.41,EG,2021-03-04 16:58:56
260,Beringovskiy,63.05,179.3167,-0.17,86,34,6.64,RU,2021-03-04 16:58:56
261,Kurilsk,45.2333,147.8833,32.11,96,73,15.88,RU,2021-03-04 16:58:56
262,Tual,-5.6667,132.75,82.71,78,76,15.28,ID,2021-03-04 16:58:56
263,Yellowknife,62.456,-114.3525,-11.99,70,75,13.8,CA,2021-03-04 16:55:00
264,Parana,-31.732,-60.5238,91.2,39,90,10.38,AR,2021-03-04 16:55:54
265,Oxford,51.7522,-1.256,41.0,87,75,8.05,GB,2021-03-04 16:58:57
266,Yumen,40.2833,97.2,37.87,62,100,7.38,CN,2021-03-04 16:58:57
267,Pimenta Bueno,-11.6725,-61.1936,79.7,81,99,5.7,BR,2021-03-04 16:58:57
268,Gagnoa,6.1293,-5.9437,86.56,65,94,4.63,CI,2021-03-04 16:58:57
269,Cap Malheureux,-19.9842,57.6142,78.01,72,19,1.99,MU,2021-03-04 16:58:58
270,Mogadishu,2.0371,45.3438,79.65,81,73,25.34,SO,2021-03-04 16:56:00
271,La Ronge,55.1001,-105.2842,17.6,93,78,2.3,CA,2021-03-04 16:58:58
272,San Borja,-14.8167,-66.85,82.94,81,100,4.63,BO,2021-03-04 16:58:58
273,Teguise,29.0605,-13.564,69.8,52,20,13.8,ES,2021-03-04 16:58:58
274,Dabra,25.9,78.3333,73.63,14,0,4.16,IN,2021-03-04 16:58:58
275,Joshimath,30.5667,79.5667,45.54,47,54,5.28,IN,2021-03-04 16:58:58
276,Salalah,17.0151,54.0924,78.8,83,0,2.3,OM,2021-03-04 16:58:58
277,Uyuni,-20.4597,-66.825,63.93,36,5,12.95,BO,2021-03-04 16:58:59
278,Hasaki,35.7333,140.8333,48.0,93,75,2.3,JP,2021-03-04 16:58:59
279,Alappuzha,9.49,76.3264,79.41,71,0,4.56,IN,2021-03-04 16:58:59
280,Nishihara,26.1842,127.7558,68.0,77,90,5.75,JP,2021-03-04 16:58:59
281,Aljezur,37.3191,-8.8033,57.09,87,100,9.26,PT,2021-03-04 16:59:00
282,Staroderevyankovskaya,46.1276,38.9674,39.38,77,3,13.04,RU,2021-03-04 16:59:00
283,Katsuura,35.1333,140.3,51.8,82,75,2.3,JP,2021-03-04 16:59:00
284,Camana,-16.6228,-72.7111,77.09,65,11,8.63,PE,2021-03-04 16:59:01
285,Jutai,-5.1833,-68.9,85.21,76,48,0.94,BR,2021-03-04 16:59:01
286,Talcahuano,-36.7167,-73.1167,69.8,64,0,9.22,CL,2021-03-04 16:59:01
287,Bengkulu,-3.8004,102.2655,79.0,84,100,6.87,ID,2021-03-04 16:59:01
288,Bubaque,11.2833,-15.8333,79.05,67,28,14.58,GW,2021-03-04 16:59:01
289,Karratha,-20.7377,116.8463,79.77,66,0,13.85,AU,2021-03-04 16:59:02
290,Okha,53.5739,142.9478,-4.43,90,100,10.45,RU,2021-03-04 16:59:02
291,Labuan,5.2767,115.2417,78.8,83,20,1.14,MY,2021-03-04 16:59:02
292,Cockburn Town,21.4612,-71.1419,80.6,74,40,11.5,TC,2021-03-04 16:59:02
